Year	PubMed	Nucleotide
1980	331598	56821
1981	316809	53841
1982	332688	38972
1983	345628	45150
1984	358276	54312
1985	386292	39059
1986	397909	30340
1987	419080	53715
1988	442052	76817
1989	458594	84972
1990	491021	237784
1991	475435	131296
1992	484439	91942
1993	493155	374478
1994	510157	247219
1995	529896	217774
1996	537904	253508
1997	538529	421122
1998	560349	277168
1999	583747	443620
2000	707115	2755415
2001	649516	2195652
2002	667987	1493604
2003	701782	1617493
2004	749613	2287852
2005	819467	3035267
2006	868946	3694673
2007	901669	8128568
2008	951810	8459712
2009	992330	11932832
2010	1056886	18106490
2011	1108833	18169899
2012	1154202	29941561
2013	1187243	42678767
2014	1202564	75727945
2015	1270628	45611821
